Estacion:, El Trapiche,Dpto: Antioquia,Latitud  :,5°,48',N
Año:, 2006,Mpio: Bolívar,Longitud:,76°,1',W
"",,Altitud:,1277,m,
"",Temperatura (°C),Hum.,Precipitación (mm),Brillo
Enero,Mín. Máx. Med.,Rel.(%),Dia Noche Total,Sol.(h)
11,16.6 24.2 19.2,83.3,5.2 0.0 5.2,5.7
12,16.5 24.4 19.6,75.3,0.0 0.0 0.0,3.5
13,15.2 24.8 20.2,70.7,0.0 0.0 0.0,7.4
14,15.0 26.2 20.4,67.0,0.0 0.0 0.0,7.9
15,15.2 23.2 18.8,89.7,0.0 0.0 0.0,2.1
16,17.0 23.8 19.6,82.7,0.0 0.0 0.0,6.3
17,15.2 24.8 19.8,80.7,0.0 0.0 0.0,8.4
18,16.2 24.2 19.6,84.0,1.4 0.0 1.4,3.9
19,15.8 22.8 19.7,81.7,0.0 0.0 0.0,3.2
20,15.2 24.0 18.8,75.3,0.0 0.2 0.2,5.1
21,16.5 24.6 19.4,70.0,0.0 0.4 0.4,6.9
22,16.5 24.6 20.0,67.7,0.0 0.0 0.0,3.3
23,17.5 25.2 19.7,80.0,2.2 0.0 2.2,2.3
24,15.5 25.2 19.9,74.3,0.0 0.0 0.0,5.3
25,17.8 26.0 20.8,76.0,0.0 0.0 0.0,4.1
26,17.5 25.9 20.8,80.3,0.0 0.0 0.0,3.5
27,17.8 24.2 19.6,88.3,1.2 0.0 1.2,1.1
28,16.5 26.5 20.8,71.3,0.0 0.0 0.0,5.3
29,17.5 23.8 19.8,74.0,0.0 0.0 0.0,2.8
30,15.5 24.6 19.7,75.3,0.0 0.0 0.0,5.1
31,15.6 23.2 19.4,79.3,0.0 0.0 0.0,0.7
Total:,,,49.3 33.1 82.4,123.1
Promedio:,16.0 24.0 19.3,80.0,,
"",Temperatura (°C),Hum.,Precipitación (mm),Brillo
Febrero,Mín. Máx. Med.,Rel.(%),Dia Noche Total,Sol.(h)
1,16.8 23.8 19.5,83.3,0.0 0.0 0.0,1.1
2,15.6 25.0 20.6,76.0,0.0 0.0 0.0,1.9
3,16.5 24.8 20.0,83.3,0.0 0.0 0.0,2.9
4,16.4 22.4 18.5,94.0,1.2 5.7 6.9,0.5
5,16.0 22.0 18.3,89.7,12.1 0.7 12.8,0.4
6,16.8 23.8 19.4,87.0,0.0 1.0 1.0,3.0
7,17.2 25.2 18.8,83.0,17.8 0.8 18.6,5.3
8,15.2 25.0 19.6,79.0,25.3 0.0 25.3,6.6
9,16.5 24.0 20.0,83.0,0.0 0.0 0.0,3.4
10,16.2 25.0 20.4,76.3,0.0 0.0 0.0,5.6
11,16.0 25.6 21.2,68.0,0.0 0.4 0.4,5.8
12,18.0 25.2 20.7,78.0,0.0 0.0 0.0,5.5
13,16.8 26.0 21.1,76.7,1.0 0.0 1.0,7.3
14,16.0 24.8 19.0,77.7,0.0 0.0 0.0,4.5
15,15.2 25.6 20.4,70.3,0.0 0.0 0.0,8.2
16,17.0 25.5 20.8,67.3,0.0 0.0 0.0,6.6
17,17.2 25.8 20.2,73.0,0.0 0.0 0.0,6.2
18,16.2 25.4 20.0,77.7,0.5 26.8 27.3,5.5
19,16.0 24.2 18.4,91.0,3.2 1.4 4.6,1.7
20,17.0 24.4 20.4,83.0,0.0 7.9 7.9,5.4
21,16.2 24.2 20.4,80.3,0.8 0.7 1.5,6.3
22,17.0 24.8 19.7,73.3,0.0 0.0 0.0,8.0
23,14.6 27.0 21.2,62.7,0.0 0.0 0.0,8.8
24,15.0 26.0 20.7,67.7,0.0 0.0 0.0,5.4
25,16.5 25.0 20.1,74.7,0.0 0.0 0.0,4.8
26,17.1 26.2 20.9,70.3,0.0 0.0 0.0,4.6
27,16.5 23.0 19.0,85.0,0.4 0.4 0.8,0.5
28,16.8 24.4 19.7,77.7,0.0 0.0 0.0,3.3
29,,,,
30,,,,
31,,,,
Total:,,,62.3 45.8 108.1,129.1
Promedio:,16.4 24.8 20.0,78.2,,
"",Temperatura (°C),Hum.,Precipitación (mm),Brillo
Marzo,Mín. Máx. Med.,Rel.(%),Dia Noche Total,Sol.(h)
1,15.8 25.8 20.8,65.0,0.0 0.0 0.0,5.7
2,16.0 27.2 20.8,74.3,1.3 0.0 1.3,7.2
3,16.4 25.8 20.5,70.3,0.0 0.0 0.0,4.6
4,17.8 23.0 19.5,88.0,0.5 1.2 1.7,0.0
5,16.8 23.8 19.6,82.3,0.0 0.0 0.0,0.5
6,16.2 22.8 19.3,84.0,0.0 2.0 2.0,0.4
7,17.0 20.8 18.6,92.7,4.7 0.0 4.7,0.0
8,16.9 19.8 18.0,95.7,12.8 1.3 14.1,0.0
9,15.6 22.0 17.6,90.0,8.1 0.2 8.3,0.1
10,16.4 22.6 19.4,87.0,0.0 0.3 0.3,0.2
11,15.8 25.6 20.1,80.3,0.5 0.0 0.5,6.5
12,15.2 25.4 19.9,81.0,10.0 3.5 13.5,4.5
13,15.5 23.6 19.8,88.3,0.0 2.5 2.5,4.6
14,16.4 23.8 18.7,84.3,7.3 2.6 9.9,3.2
15,16.2 21.2 17.8,95.7,0.6 0.0 0.6,0.2
16,15.5 24.8 19.2,79.3,0.0 0.0 0.0,2.4
17,17.0 23.8 19.7,85.0,0.7 23.0 23.7,0.8
18,16.8 24.2 19.0,84.7,0.3 0.0 0.3,1.8
19,16.6 23.4 19.1,85.3,0.3 0.0 0.3,3.7
20,16.8 23.2 18.4,83.7,0.3 0.0 0.3,1.5
21,15.7 25.4 20.3,77.7,0.0 0.0 0.0,2.9
22,15.5 24.4 19.0,86.0,4.5 0.0 4.5,2.3
23,15.8 22.5 18.8,90.3,1.0 16.8 17.8,1.2
24,16.2 24.2 19.6,87.7,1.9 17.6 19.5,2.7
25,16.4 19.8 18.2,93.0,3.0 1.9 4.9,0.0
26,16.0 19.5 16.8,90.0,2.4 0.0 2.4,0.0
27,15.2 23.8 18.9,85.7,0.4 1.2 1.6,3.2
28,16.0 25.0 19.2,78.3,0.0 0.0 0.0,0.0
29,15.7 26.2 19.9,72.0,0.0 0.0 0.0,2.6
30,15.8 26.0 20.3,71.7,0.0 0.0 0.0,6.7
31,16.6 24.8 20.1,72.0,0.0 0.0 0.0,3.0
Total:,,,60.6 74.1 134.7,72.5
Promedio:,16.2 23.7 19.3,83.3,,
"",Temperatura (°C),Hum.,Precipitación (mm),Brillo
Abril,Mín. Máx. Med.,Rel.(%),Dia Noche Total,Sol.(h)
1,16.7 24.4 19.3,85.7,0.1 0.0 0.1,4.4
2,16.5 22.4 18.6,84.0,0.0 0.0 0.0,0.9
3,14.8 24.4 20.0,77.7,0.0 9.9 9.9,4.1
4,16.0 21.8 19.0,87.3,0.7 0.0 0.7,0.2
5,17.0 20.0 18.3,94.3,11.6 6.3 17.9,0.0
6,16.5 25.6 20.6,79.3,1.0 0.0 1.0,5.6
7,16.8 22.0 18.0,81.7,0.6 0.0 0.6,0.8
8,16.0 25.8 20.0,75.7,0.0 0.0 0.0,5.7
9,16.8 25.6 18.2,85.7,5.3 0.0 5.3,3.3
10,16.0 26.0 20.2,80.3,0.0 0.1 0.1,5.8
11,16.8 26.2 20.2,78.3,0.0 8.3 8.3,4.2
12,16.5 24.8 19.6,87.3,3.8 6.3 10.1,2.4
13,15.6 23.3 18.6,88.3,0.2 9.7 9.9,0.7
14,15.8 21.8 17.5,94.3,0.9 1.7 2.6,0.1
15,16.0 22.0 17.8,91.7,0.0 2.0 2.0,1.2
16,17.0 22.7 19.4,87.3,0.3 0.1 0.4,3.4
17,17.2 21.4 18.3,93.0,1.0 4.9 5.9,1.5
18,16.0 24.8 19.2,83.0,0.5 6.5 7.0,2.4
19,16.8 26.0 20.8,82.0,0.0 3.0 3.0,4.4
20,16.5 27.4 20.2,75.7,0.0 0.0 0.0,6.0
21,15.5 25.6 19.6,74.7,0.0 0.0 0.0,6.0
22,16.6 25.8 21.5,71.7,0.0 0.0 0.0,7.4
23,16.9 25.0 19.3,90.0,2.1 0.0 2.1,1.0
24,16.5 23.9 19.8,81.0,0.0 0.4 0.4,1.3
25,17.2 25.6 20.5,76.0,0.0 0.1 0.1,4.7
26,17.0 23.0 18.9,88.0,5.4 8.1 13.5,0.7
27,15.7 24.0 18.7,83.7,0.7 0.0 0.7,3.1
28,16.0 23.4 18.5,81.7,0.0 0.0 0.0,2.2
29,15.5 23.6 18.5,80.7,0.9 1.3 2.2,4.1
30,16.5 23.0 18.5,87.7,3.7 0.1 3.8,0.7
31,,,,
Total:,,,38.8 68.8 107.6,88.3
Promedio:,16.4 24.0 19.3,83.6,,
"",Temperatura (°C),Hum.,Precipitación (mm),Brillo
Mayo,Mín. Máx. Med.,Rel.(%),Dia Noche Total,Sol.(h)
1,16.5 23.6 19.6,82.3,2.2 0.1 2.3,1.6
2,15.9 23.8 19.3,86.0,0.7 0.0 0.7,1.4
3,16.6 25.8 19.6,85.7,0.2 0.0 0.2,3.9
4,16.8 26.9 20.7,76.7,0.0 2.2 2.2,3.4
5,17.0 21.6 19.0,89.3,0.3 6.0 6.3,0.2
6,16.9 23.1 19.1,89.3,2.4 3.2 5.6,1.5
7,15.8 23.5 18.4,92.0,4.3 5.9 10.2,1.9
8,17.0 23.5 19.7,90.3,0.0 2.7 2.7,1.3
9,16.5 24.0 19.2,86.0,2.9 4.3 7.2,2.7
10,17.0 22.0 18.4,93.3,3.4 0.2 3.6,0.6
11,16.5 26.1 20.5,84.3,0.6 6.8 7.4,3.3
12,16.7 25.3 19.5,83.3,8.0 0.0 8.0,4.1
13,16.8 25.6 20.9,71.7,0.0 0.0 0.0,8.5
14,15.5 26.8 21.2,60.3,0.0 0.0 0.0,8.4
15,16.5 25.4 20.4,77.7,0.0 0.0 0.0,2.5
16,17.5 25.8 21.2,72.3,0.6 0.0 0.6,5.0
17,16.5 23.6 18.4,93.3,2.5 0.0 2.5,1.1
18,16.6 23.0 19.1,84.0,0.0 0.0 0.0,1.0
19,16.0 23.8 18.1,89.0,9.9 0.0 9.9,0.9
20,15.5 23.9 19.5,79.0,0.0 0.0 0.0,4.7
21,16.7 24.8 19.9,80.7,0.0 0.0 0.0,2.2
22,15.5 25.9 20.2,67.7,0.0 0.0 0.0,8.8
23,14.8 27.0 21.1,50.3,0.0 0.0 0.0,9.4
24,17.4 22.6 19.6,81.0,0.0 0.0 0.0,0.3
25,17.2 25.6 19.9,77.7,0.0 0.0 0.0,5.7
26,17.0 24.3 19.9,84.0,0.0 0.0 0.0,3.0
27,15.6 24.6 20.2,77.0,0.0 0.2 0.2,4.7
28,16.5 23.4 18.6,82.0,1.4 0.0 1.4,3.9
29,15.9 24.4 20.4,76.3,0.0 1.1 1.1,4.4
30,16.0 26.2 21.2,76.7,0.0 0.0 0.0,3.9
31,17.4 26.0 20.6,78.7,0.0 0.0 0.0,5.0
Total:,,,39.4 32.7 72.1,109.3
Promedio:,16.5 24.6 19.8,80.6,,
"",Temperatura (°C),Hum.,Precipitación (mm),Brillo
Junio,Mín. Máx. Med.,Rel.(%),Dia Noche Total,Sol.(h)
1,16.2 26.2 19.7,83.7,28.3 1.3 29.6,3.8
2,15.3 26.0 20.1,80.7,0.0 3.6 3.6,4.0
3,16.6 26.2 19.6,78.0,0.0 0.0 0.0,2.1
4,16.0 23.0 18.7,83.3,0.0 1.5 1.5,2.0
5,15.4 22.6 18.8,90.3,5.8 3.8 9.6,1.4
6,16.4 22.0 18.0,89.0,0.0 0.0 0.0,0.7
7,15.7 21.0 18.3,92.0,2.6 0.7 3.3,0.8
8,16.0 23.0 17.4,95.3,5.0 0.2 5.2,1.2
9,15.5 22.0 18.0,88.3,0.0 0.0 0.0,0.6
10,15.2 24.2 17.6,93.0,0.0 0.3 0.3,2.5
11,15.0 23.0 17.0,91.7,9.9 0.0 9.9,2.4
12,14.8 25.0 19.4,77.7,0.0 0.1 0.1,4.4
13,16.2 23.6 18.8,81.3,1.9 0.0 1.9,5.2
14,16.0 24.0 19.2,80.3,1.5 4.2 5.7,3.0
15,15.5 25.4 19.5,78.3,0.0 16.0 16.0,4.2
16,15.2 21.4 17.9,88.0,0.0 0.0 0.0,0.2
17,14.5 24.2 19.0,82.0,0.0 0.0 0.0,3.0
18,15.5 23.6 20.0,77.0,0.1 0.0 0.1,3.1
19,16.0 25.6 19.8,68.0,0.2 0.4 0.6,5.3
20,16.5 24.6 18.9,74.7,0.0 0.6 0.6,4.2
21,16.2 23.2 18.9,82.3,0.0 0.0 0.0,0.8
22,15.6 25.4 20.6,79.3,0.0 2.0 2.0,6.3
23,16.2 25.2 20.0,76.3,0.0 0.0 0.0,4.7
24,15.2 25.0 19.8,74.7,0.0 0.0 0.0,4.4
25,16.7 25.2 19.5,70.7,0.0 0.0 0.0,2.0
26,17.0 26.0 20.6,74.0,0.0 0.0 0.0,4.3
27,17.4 24.4 19.6,76.3,0.0 0.0 0.0,2.1
28,15.8 24.2 19.1,80.0,0.0 0.5 0.5,4.6
29,15.6 25.6 19.4,75.7,0.0 0.0 0.0,6.1
30,16.7 25.7 20.8,71.7,0.0 0.0 0.0,5.9
31,,,,
Total:,,,55.3 35.2 90.5,95.3
Promedio:,15.9 24.2 19.1,81.1,,
"",Temperatura (°C),Hum.,Precipitación (mm),Brillo
Julio,Mín. Máx. Med.,Rel.(%),Dia Noche Total,Sol.(h)
1,17.0 26.2 20.2,73.0,0.0 0.0 0.0,4.6
2,16.0 25.6 20.3,71.7,0.0 0.0 0.0,6.6
3,16.5 25.4 20.4,78.3,4.1 0.0 4.1,3.0
4,17.0 22.0 18.2,85.7,2.0 0.0 2.0,0.2
5,14.6 24.9 19.1,71.7,0.0 0.0 0.0,2.0
6,15.0 26.3 20.8,70.7,0.0 0.0 0.0,4.3
7,16.5 27.0 20.7,64.0,0.0 0.0 0.0,6.8
8,15.2 26.1 20.6,64.0,0.0 0.0 0.0,8.0
9,16.5 25.2 20.1,66.0,0.0 0.0 0.0,2.5
10,15.6 26.0 20.6,64.3,0.0 0.0 0.0,3.6
11,17.4 25.0 20.0,77.3,0.0 0.0 0.0,2.2
12,16.6 26.4 21.0,71.3,0.0 0.4 0.4,1.6
13,17.2 26.0 20.4,74.3,0.0 0.0 0.0,2.7
14,17.0 25.6 20.6,75.3,0.0 0.0 0.0,3.1
15,17.2 25.2 19.9,77.7,0.0 0.0 0.0,1.3
16,15.5 21.6 18.4,84.3,2.1 0.0 2.1,0.3
17,14.8 26.2 20.4,70.0,0.0 4.0 4.0,4.1
18,16.5 24.0 19.6,72.0,0.0 0.0 0.0,1.0
19,15.6 22.5 19.0,72.0,0.0 0.0 0.0,0.6
20,15.2 25.4 19.6,68.7,0.0 0.0 0.0,3.2
21,15.6 26.4 21.0,66.7,0.0 0.0 0.0,6.4
22,17.2 23.0 19.9,78.0,0.0 0.5 0.5,0.3
23,16.5 24.6 19.8,72.0,0.0 0.7 0.7,1.6
24,14.5 22.6 19.0,80.0,0.0 0.0 0.0,0.6
25,15.2 26.4 20.5,66.7,0.0 0.0 0.0,5.2
26,16.0 27.2 21.8,56.3,0.0 0.1 0.1,7.2
27,15.8 24.6 18.8,80.0,1.5 5.5 7.0,2.8
28,14.0 22.9 15.6,96.0,9.8 0.0 9.8,0.0
29,13.5 24.4 19.5,75.3,0.0 0.1 0.1,5.5
30,14.5 25.4 19.7,60.7,0.0 0.0 0.0,7.3
31,14.7 24.6 20.2,65.7,0.0 0.3 0.3,4.7
Total:,,,19.5 11.6 31.1,103.3
Promedio:,15.8 25.0 19.9,72.6,,
"",Temperatura (°C),Hum.,Precipitación (mm),Brillo
Agosto,Mín. Máx. Med.,Rel.(%),Dia Noche Total,Sol.(h)
1,15.2 26.2 20.8,65.7,0.0 0.0 0.0,5.5
2,15.7 24.6 19.4,71.0,0.0 0.0 0.0,4.5
3,14.6 26.2 20.5,63.0,0.0 0.0 0.0,7.9
4,16.2 25.7 20.6,64.7,0.0 0.0 0.0,3.9
5,16.4 25.0 20.2,67.3,0.0 0.0 0.0,3.8
6,14.8 26.0 20.5,60.3,0.0 3.9 3.9,5.2
7,16.0 25.8 20.5,66.3,0.0 2.5 2.5,2.4
8,16.5 23.4 19.4,73.3,0.0 0.0 0.0,1.1
9,15.5 26.7 21.0,58.7,0.0 0.0 0.0,3.2
10,16.6 28.4 22.1,65.0,0.0 0.0 0.0,6.0
11,17.4 25.0 20.4,71.3,0.0 0.0 0.0,1.0
12,16.2 27.0 21.7,57.7,0.0 0.0 0.0,7.6
13,16.0 26.4 20.4,65.0,0.0 0.0 0.0,4.5
14,14.8 27.8 22.0,53.0,0.0 2.0 2.0,7.4
15,16.2 25.4 20.0,69.7,0.0 0.0 0.0,2.6
16,16.6 26.0 20.0,76.3,0.8 0.0 0.8,2.5
17,16.4 26.8 20.8,72.0,0.3 0.7 1.0,4.6
18,17.0 23.3 19.0,82.7,0.0 0.0 0.0,0.8
19,16.0 27.2 20.1,66.7,0.0 0.0 0.0,5.4
20,15.8 27.5 21.9,63.3,0.0 0.0 0.0,8.2
21,16.5 25.6 20.5,67.0,0.0 0.0 0.0,3.0
22,16.7 26.6 20.3,67.3,0.0 0.0 0.0,4.1
23,14.8 28.3 21.0,57.3,0.0 0.0 0.0,7.0
24,17.4 25.7 20.2,71.0,0.0 4.8 4.8,3.2
25,16.5 22.8 19.3,80.7,1.3 1.8 3.1,0.9
26,16.8 24.0 19.7,74.7,0.0 0.0 0.0,2.3
27,16.4 22.9 19.2,81.0,0.0 0.0 0.0,1.7
28,16.5 24.9 19.4,70.0,0.0 0.0 0.0,3.5
29,16.5 26.8 20.6,61.0,0.0 0.0 0.0,5.2
30,17.2 25.6 21.0,63.3,0.0 0.0 0.0,4.9
31,15.5 27.2 21.6,53.7,0.0 0.0 0.0,8.0
Total:,,,2.4 15.7 18.1,131.9
Promedio:,16.2 25.8 20.5,67.1,,
"",Temperatura (°C),Hum.,Precipitación (mm),Brillo
Septiembre,Mín. Máx. Med.,Rel.(%),Dia Noche Total,Sol.(h)
1,17.5 27.6 21.2,64.7,0.0 0.0 0.0,3.9
2,16.0 28.4 21.6,69.0,0.0 0.0 0.0,5.8
3,15.5 26.8 19.9,70.3,0.0 0.0 0.0,5.8
4,15.2 26.5 20.8,63.7,0.0 0.0 0.0,3.5
5,15.6 26.2 19.2,76.3,2.6 0.0 2.6,3.6
6,15.5 26.0 21.2,58.0,0.0 0.3 0.3,6.3
7,15.8 24.8 20.1,69.0,0.0 0.0 0.0,2.0
8,15.0 25.8 20.8,61.3,0.0 3.2 3.2,4.5
9,16.5 26.6 20.6,72.3,0.0 0.0 0.0,5.2
10,14.8 26.7 20.8,59.7,0.0 0.0 0.0,5.4
11,16.4 23.4 19.6,67.7,0.0 0.0 0.0,2.8
12,16.7 24.4 20.2,70.3,0.0 0.1 0.1,1.3
13,16.8 25.7 19.0,74.7,0.0 0.0 0.0,2.5
14,15.2 27.4 22.3,56.0,0.0 0.0 0.0,8.0
15,14.9 23.1 18.8,84.0,0.7 1.4 2.1,2.5
16,15.6 25.2 20.2,64.3,0.0 0.0 0.0,2.2
17,15.8 25.5 18.5,73.7,0.4 4.4 4.8,0.9
18,15.6 20.4 17.8,84.3,2.5 0.2 2.7,0.2
19,15.2 25.6 19.8,64.3,0.0 5.9 5.9,4.3
20,15.7 27.0 20.7,61.7,0.0 0.0 0.0,8.7
21,16.0 27.0 21.9,54.3,0.0 0.0 0.0,5.8
22,16.4 26.0 20.9,65.7,0.0 0.0 0.0,3.8
23,16.8 28.0 21.6,61.7,0.0 0.0 0.0,5.3
24,16.5 25.5 19.8,76.0,0.0 0.0 0.0,1.4
25,15.2 26.4 21.5,62.0,0.0 7.9 7.9,6.4
26,14.3 26.2 19.5,74.0,0.0 0.0 0.0,5.9
27,14.7 27.0 21.0,56.7,0.3 0.0 0.3,8.7
28,15.5 27.3 20.7,55.7,0.0 0.0 0.0,7.2
29,16.5 27.4 21.2,62.3,0.0 0.0 0.0,2.1
30,18.0 26.6 21.2,70.0,0.0 11.0 11.0,2.5
31,,,,
Total:,,,6.5 34.4 40.9,128.5
Promedio:,15.8 26.0 20.4,66.8,,
"",Temperatura (°C),Hum.,Precipitación (mm),Brillo
Octubre,Mín. Máx. Med.,Rel.(%),Dia Noche Total,Sol.(h)
1,17.0 24.8 20.7,72.0,0.0 0.0 0.0,1.5
2,16.7 25.0 19.5,74.0,0.0 0.0 0.0,2.0
3,16.4 23.9 19.2,78.0,4.9 0.0 4.9,0.7
4,16.5 25.4 20.2,73.3,0.0 0.0 0.0,2.4
5,17.1 27.8 21.5,65.7,0.0 0.2 0.2,6.8
6,17.7 28.0 21.3,62.7,0.0 0.0 0.0,7.4
7,17.4 28.0 22.4,57.3,0.0 0.0 0.0,5.7
8,16.6 27.2 21.4,54.3,0.0 0.0 0.0,2.9
9,17.0 26.7 20.8,68.0,0.0 0.0 0.0,1.8
10,18.0 28.2 21.5,70.0,0.0 0.0 0.0,1.8
11,17.2 22.5 19.5,79.7,1.5 0.6 2.1,1.7
12,15.7 24.6 21.0,66.7,0.0 8.2 8.2,3.4
13,17.2 21.8 18.4,91.0,0.3 2.3 2.6,0.0
14,16.0 24.0 19.8,82.0,4.3 0.2 4.5,2.6
15,17.0 19.8 17.8,94.7,1.1 0.1 1.2,0.0
16,16.7 22.4 18.5,84.0,5.5 3.0 8.5,0.1
17,16.5 20.0 18.0,96.7,3.8 0.0 3.8,0.0
18,15.2 25.4 20.3,81.7,0.0 19.8 19.8,7.4
19,16.0 23.5 19.6,87.0,0.6 7.3 7.9,1.4
20,17.0 22.4 19.0,88.0,20.0 0.0 20.0,0.4
21,17.1 24.3 20.1,83.7,27.0 15.0 42.0,3.2
22,17.2 23.1 19.3,84.3,6.0 0.0 6.0,2.0
23,16.8 19.6 18.1,94.3,0.0 0.0 0.0,0.0
24,13.5 25.4 20.0,66.7,0.0 0.0 0.0,9.8
25,17.0 25.0 20.2,77.3,0.9 0.0 0.9,5.0
26,15.6 23.6 19.6,84.3,0.6 0.6 1.2,2.8
27,16.4 25.0 20.8,74.3,0.0 0.0 0.0,6.7
28,16.5 24.4 20.0,73.7,1.3 0.0 1.3,6.0
29,16.0 24.3 20.0,76.7,0.0 0.0 0.0,3.8
30,17.5 24.0 20.3,86.7,0.0 0.0 0.0,3.0
31,17.4 23.9 19.5,84.0,2.1 2.1 4.2,3.5
Total:,,,79.9 59.4 139.3,95.8
Promedio:,16.6 24.3 19.9,77.8,,
"",Temperatura (°C),Hum.,Precipitación (mm),Brillo
Noviembre,Mín. Máx. Med.,Rel.(%),Dia Noche Total,Sol.(h)
1,17.0 23.8 20.1,85.0,5.1 1.6 6.7,3.5
2,17.2 23.9 20.5,84.3,0.0 16.6 16.6,3.9
3,15.5 24.6 20.5,75.3,0.0 0.0 0.0,9.0
4,16.0 25.3 21.2,67.7,0.0 0.0 0.0,8.9
5,16.6 24.6 19.0,77.0,0.0 0.0 0.0,1.7
6,15.6 24.9 19.8,73.0,0.0 0.0 0.0,2.1
7,15.8 23.2 19.7,86.7,11.5 8.4 19.9,0.7
8,16.0 22.8 19.2,82.3,0.0 0.0 0.0,1.4
9,17.0 24.5 20.2,81.7,8.1 0.9 9.0,2.2
10,16.4 23.0 18.5,83.7,0.0 0.0 0.0,2.0
11,16.6 25.8 20.7,71.0,0.0 0.0 0.0,8.6
12,16.5 22.6 17.8,91.7,0.0 0.0 0.0,0.4
13,15.5 24.0 20.3,86.0,0.0 0.0 0.0,1.9
14,16.6 20.8 17.8,95.0,22.7 17.9 40.6,0.7
15,15.6 19.2 17.5,93.3,0.8 6.9 7.7,0.0
16,16.0 21.0 18.1,93.3,0.3 5.8 6.1,3.4
17,16.5 22.6 19.3,83.3,0.3 2.4 2.7,1.7
18,15.2 23.8 17.7,82.0,0.0 14.0 14.0,4.3
19,14.5 24.0 18.8,84.7,1.4 0.0 1.4,3.0
20,16.2 24.0 20.2,81.3,0.0 0.0 0.0,4.8
21,16.5 25.3 20.0,82.0,0.7 0.0 0.7,4.7
22,15.5 23.2 18.6,77.0,0.0 0.0 0.0,3.7
23,15.0 25.0 19.6,76.7,0.0 0.0 0.0,8.0
24,16.2 25.4 18.8,83.0,0.0 0.0 0.0,3.5
25,15.5 24.2 19.8,78.3,0.0 0.0 0.0,3.9
26,16.5 24.4 20.0,79.0,0.0 0.0 0.0,3.2
27,16.0 24.0 19.8,77.3,0.0 0.0 0.0,3.5
28,16.2 24.8 19.4,73.7,0.0 0.0 0.0,5.7
29,15.2 24.6 19.0,81.7,0.0 0.0 0.0,2.4
30,16.2 25.0 20.4,70.3,0.0 0.0 0.0,8.6
31,,,,
Total:,,,50.9 74.5 125.4,111.4
Promedio:,16.0 23.8 19.4,81.2,,
"",Temperatura (°C),Hum.,Precipitación (mm),Brillo
Diciembre,Mín. Máx. Med.,Rel.(%),Dia Noche Total,Sol.(h)
1,15.2 25.8 21.2,70.7,0.0 0.0 0.0,7.9
2,16.2 23.8 20.0,72.7,0.0 0.0 0.0,3.2
3,15.0 24.4 20.2,81.3,0.0 0.0 0.0,5.1
4,16.6 23.2 18.9,90.7,0.0 0.0 0.0,2.6
5,16.5 22.3 18.3,92.0,0.0 0.0 0.0,0.1
6,17.0 22.4 19.6,92.3,0.0 0.0 0.0,0.9
7,17.2 21.6 18.7,89.7,0.0 0.0 0.0,2.2
8,16.2 22.8 19.3,87.7,10.1 0.0 10.1,2.2
9,16.7 21.0 18.8,91.7,0.0 0.0 0.0,0.0
10,15.1 24.0 19.0,80.7,0.0 0.0 0.0,3.8
11,16.2 25.2 20.6,73.3,0.0 0.0 0.0,6.9
12,15.5 20.1 17.2,94.0,0.0 10.6 10.6,0.1
13,15.8 22.0 17.8,88.0,0.0 0.0 0.0,2.3
14,16.5 22.9 19.2,88.7,9.7 0.3 10.0,1.0
15,17.2 23.8 18.9,81.3,0.0 0.0 0.0,4.6
16,16.0 24.3 20.4,81.7,0.0 6.4 6.4,5.5
17,16.5 23.8 19.4,82.7,0.0 0.0 0.0,6.6
18,15.8 24.0 18.8,83.7,0.0 0.0 0.0,2.6
19,16.6 25.2 19.9,80.7,4.8 0.1 4.9,7.7
20,17.2 22.2 19.3,87.3,1.7 0.0 1.7,0.5
21,15.5 22.8 18.2,84.3,0.0 0.0 0.0,2.9
22,14.6 24.2 19.8,72.3,0.0 0.0 0.0,3.5
23,15.6 24.0 19.0,83.3,0.5 0.0 0.5,2.3
24,15.4 25.8 20.4,68.0,0.0 0.0 0.0,9.1
25,15.0 24.6 19.6,73.3,0.0 0.0 0.0,5.6
26,15.2 24.2 18.9,74.3,0.0 0.0 0.0,3.9
27,15.5 23.0 19.1,84.3,0.0 0.0 0.0,2.1
28,15.6 24.0 19.7,80.7,0.0 0.0 0.0,6.6
29,16.0 25.4 20.2,75.0,0.0 0.0 0.0,8.8
30,15.0 25.6 20.6,74.7,0.0 0.0 0.0,9.5
31,16.0 25.4 19.8,74.7,0.0 0.0 0.0,7.8
Total:,,,26.8 17.4 44.2,127.9
Promedio:,15.9 23.7 19.4,81.8,,
Estacion:, Montelíbano,Dpto: Cundinamarca,Latitud  :,5°,27',N
Año:, 2006,Mpio: Yacopí,Longitud:,74°,20',W
"",,Altitud:,1365,m,
"",Temperatura (°C),Hum.,Precipitación (mm),Brillo
Enero,Mín. Máx. Med.,Rel.(%),Dia Noche Total,Sol.(h)
1,16.0 24.0 19.4,78.3,0.0 0.0 0.0,2.9
2,16.5 25.6 20.3,75.0,0.0 0.0 0.0,7.1
3,17.3 24.8 19.6,74.0,0.0 10.7 10.7,4.1
4,16.5 22.2 18.0,86.3,6.0 0.0 6.0,3.1
5,17.0 22.4 18.1,88.3,0.5 0.0 0.5,0.4
6,16.5 24.6 19.4,77.0,0.0 8.1 8.1,3.9
7,16.2 23.4 19.2,73.7,0.0 4.8 4.8,4.5
